OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * C3Hf/HeA * C57BL/LiA,ht,FALSE,"abnormal anterior eye segment morphology, abnormal anterior eye segment morphology, abnormal iridocorneal angle, abnormal iridocorneal angle, buphthalmos, buphthalmos, mydriasis, mydriasis",11722794,129S2/SvPas|C3Hf/HeA|C57BL/LiA
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * C57BL/6,ht,FALSE,"abnormal ear development, abnormal ear development, abnormal lateral semicircular canal morphology, abnormal lateral semicircular canal morphology, abnormal lateral semicircular canal morphology, abnormal lateral semicircular canal morphology, abnormal renal glomerulus morphology, abnormal renal glomerulus morphology, absent lateral semicircular canal, absent lateral semicircular canal, circling, circling, decreased body weight, decreased body weight, decreased lateral semicircular canal size, decreased lateral semicircular canal size, hearing/vestibular/ear phenotype, hearing/vestibular/ear phenotype, increased circulating glucose level, increased circulating glucose level","20233579, 21471216",129S2/SvPas|C57BL/6
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * C57BL/6 * CBA,ht,FALSE,"abnormal lateral semicircular canal morphology, abnormal lateral semicircular canal morphology, circling, circling, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number, decreased primordial germ cell number","20233579, 10049358, 23469192",129S2/SvPas|C57BL/6|CBA
Bmp4<tm1Blh>/Bmp4<+>,involves: 129S2/SvPas * CAST/Ei,ht,FALSE,"cataract, cataract",11722794,129S2/SvPas|CAST/Ei
Bmp4<tm1Blh>/Bmp4<tm1Blh>,129S2/SvPas-Bmp4<tm1Blh>,hm,FALSE,"abnormal extraembryonic mesoderm development, abnormal visceral yolk sac morphology, absent visceral yolk sac blood islands, embryonic lethality between implantation and somite formation, complete penetrance, failure of primitive streak formation",7657163,129S2/SvPas
Bmp4<tm1Blh>/Bmp4<tm1Blh>,B6.129S2-Bmp4<tm1Blh>,hm,FALSE,"abnormal extraembryonic mesoderm development, abnormal visceral yolk sac morphology, absent visceral yolk sac blood islands, decreased erythrocyte cell number, embryonic lethality between implantation and somite formation, complete penetrance, failure of primitive streak formation",7657163,B6|129S2
Bmp4<tm1Blh>/Bmp4<tm1Blh>,involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss,hm,FALSE,"abnormal amniotic cavity morphology, abnormal heart looping, abnormal lateral plate mesoderm morphology, abnormal lateral plate mesoderm morphology, abnormal mesoderm development, abnormal posterior primitive streak morphology, abnormal primitive node morphology, abnormal primitive node morphology",12361961,129S2/SvPas|129S6/SvEvTac|BlackSwiss
Bmp4<tm1Blh>/Bmp4<tm1Blh>,involves: 129S2/SvPas * Black Swiss,hm,FALSE,"abnormal lens induction, absent Rathke's pouch, absent allantois, absent primordial germ cells, embryonic growth retardation, embryonic growth retardation, embryonic lethality during organogenesis, complete penetrance","9851982, 9806931, 10049358",129S2/SvPas|BlackSwiss
Bmp4<tm1Blh>/Bmp4<tm1Blh>,involves: 129S2/SvPas * C57BL/6,hm,FALSE,"abnormal extraembryonic mesoderm development, abnormal rostral-caudal axis patterning, abnormal visceral yolk sac mesenchyme morphology, abnormal visceral yolk sac morphology, absent visceral yolk sac blood islands, embryonic growth retardation, embryonic lethality, complete penetrance",7657163,129S2/SvPas|C57BL/6
Bmp4<tm1Blh>/Bmp4<tm1Blh>,involves: 129S2/SvPas * C57BL/6 * CBA,hm,FALSE,"absent allantois, absent primordial germ cells, embryonic growth retardation, prenatal lethality, complete penetrance",10049358,129S2/SvPas|C57BL/6|CBA
Bmp4<tm1Blh>/Bmp4<tm1Blh>,involves: 129S2/SvPas * ICR,hm,FALSE,"embryonic growth retardation, embryonic lethality during organogenesis, complete penetrance",7657163,129S2/SvPas|ICR
Bmp4<tm1Blh>/Bmp4<tm3.1Blh>,involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss,ht,FALSE,"abnormal eye morphology, eyelids fail to open, perinatal lethality, complete penetrance",11857779,129S2/SvPas|129S6/SvEvTac|BlackSwiss
Bmp4<tm1Blh>/Bmp4<tm3.1Blh>,involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss * ICR,ht,FALSE,"abnormal eye morphology, cardiovascular system phenotype, ostium primum atrial septal defect, ostium primum atrial septal defect, partial atrioventricular septal defect, postnatal lethality, complete penetrance",12975322,129S2/SvPas|129S6/SvEvTac|BlackSwiss|ICR
Bmp4<tm1Blh>/Bmp4<tm4Blh>,involves: 129S2/SvPas * 129S6/SvEvTac * Black Swiss * C57BL/6 * SJL,ht,FALSE,abnormal semicircular canal morphology,18404215,129S2/SvPas|129S6/SvEvTac|BlackSwiss|C57BL/6|SJL
Bmp4<tm1b(EUCOMM)Hmgu>/Bmp4<+>,C57BL/6N-Bmp4<tm1b(EUCOMM)Hmgu>/Bay,ht,FALSE,"abnormal eye anterior chamber depth, abnormal iris morphology, abnormal optic disk morphology, abnormal retina inner nuclear layer morphology, abnormal retina morphology, abnormal retina outer nuclear layer morphology, decreased anxiety-related response, decreased total retina thickness, eyelids fail to open, hyperactivity, increased cornea thickness, increased grip strength, microphthalmia",NA,C57BL/6N
Bmp4<tm2Blh>/Bmp4<+>,B6.129S6-Bmp4<tm2Blh>,ht,FALSE,"abnormal vertebral spinous process morphology, anophthalmia, cervical vertebral fusion, decreased rib number, enlarged kidney, microphthalmia, perimembraneous ventricular septal defect, polycystic kidney, postnatal lethality, incomplete penetrance, short ribs, thoracic vertebral fusion",16624858,B6|129S6
Bmp4<tm2Blh>/Bmp4<+>,involves: 129S6/SvEvTac * Black Swiss,ht,FALSE,decreased primordial germ cell number,10049358,129S6/SvEvTac|BlackSwiss
Bmp4<tm2Blh>/Bmp4<+>,involves: 129S6/SvEvTac * Black Swiss * C57BL/6J,ht,FALSE,"abnormal Wolffian duct morphology, abnormal kidney development, abnormal kidney mesenchyme morphology, abnormal metanephric mesenchyme morphology, abnormal nephrogenic zone morphology, abnormal nephrogenic zone morphology, abnormal renal/urinary system morphology, abnormal ureter development, abnormal ureter development, abnormal ureter morphology, abnormal ureter smooth muscle morphology, abnormal ureteral orifice morphology, abnormal ureteric bud elongation, abnormal ureteric bud elongation, abnormal ureterovesical junction morphology, bifid ureter, bifid ureter, dilated kidney calyx, dilated ureter, duplex kidney, ectopic ureter, ectopic ureteric bud, ectopic ureteric bud, hydronephrosis, hydroureter, increased metanephric mesenchyme apoptosis, kidney cyst, renal hypoplasia, small kidney, small kidney","10749566, 12631064",129S6/SvEvTac|BlackSwiss|C57BL/6J
Bmp4<tm2Blh>/Bmp4<+>,involves: 129S6/SvEvTac * ICR,ht,FALSE,"abnormal angiogenesis, abnormal angiogenesis, abnormal artery morphology, abnormal heart right ventricle pressure, abnormal heart right ventricle pressure, abnormal vascular endothelial cell physiology, abnormal vascular smooth muscle morphology, heart right ventricle hypertrophy",16100039,129S6/SvEvTac|ICR
Bmp4<tm3Blh>/Bmp4<+>,involves: 129S6/SvEvTac,ht,FALSE,"prenatal lethality, incomplete penetrance",12717732,129S6/SvEvTac
Bmp4<tm5Bhr>/Bmp4<+>,involves: 129S6/SvEvTac * C57BL/6 * Swiss Webster,ht,FALSE,no phenotypic analysis,20336610,129S6/SvEvTac|C57BL/6|SwissWebster
Boc<tm1Aok>/Boc<tm1Aok>,involves: 129 * CD-1,hm,FALSE,craniofacial phenotype,27811357,129|CD
Boc<tm1Aok>/Boc<tm1Aok>,involves: 129P2/OlaHsd * CD-1,hm,FALSE,"abnormal innervation, nervous system phenotype",17086203,129P2/OlaHsd|CD
Boc<tm1Rsk>/Boc<tm1Rsk>,B6.129S6-Boc<tm1Rsk>,hm,FALSE,no abnormal phenotype detected,21183473,B6|129S6
Boc<tm1Rsk>/Boc<tm1Rsk>,involves: 129S6/SvEvTac,hm,FALSE,no abnormal phenotype detected,21183473,129S6/SvEvTac
Boc<tm2Rsk>/Boc<tm2Rsk>,B6.129S6-Boc<tm2Rsk>,hm,FALSE,no abnormal phenotype detected,21183473,B6|129S6
Boc<tm2Rsk>/Boc<tm2Rsk>,involves: 129S6/SvEvTac,hm,FALSE,no abnormal phenotype detected,21183473,129S6/SvEvTac
Cc2d2a<Gt(AA0274)Wtsi>/Cc2d2a<Gt(AA0274)Wtsi>,involves: 129P2/OlaHsd,hm,TRUE,"abnormal left-right axis patterning, abnormal rostral-caudal axis patterning, cellular phenotype, holoprosencephaly, microphthalmia",21725307,129P2/OlaHsd
Cdon<tm1Rsk>/Cdon<tm1Rsk>,B6.129-Cdon<tm1Rsk>,hm,TRUE,"abnormal blood vessel morphology, abnormal brain ventricle morphology, abnormal cerebral cortex morphology, abnormal forebrain morphology, abnormal forebrain morphology, abnormal neuronal precursor proliferation, absent lamina terminalis, domed cranium, enlarged lateral ventricles, hemorrhage, holoprosencephaly, hydrocephaly, perinatal lethality, incomplete penetrance, premature death, thin cerebral cortex, thin cerebral cortex, weakness",16648472,B6|129
Cdon<tm1Rsk>/Cdon<tm1Rsk>,involves: 129/Sv * 129S6/SvEvTac,hm,FALSE,"abnormal craniofacial development, abnormal craniofacial development, abnormal maxilla morphology, abnormal maxillary shelf morphology, abnormal palate development, abnormal palate development, abnormal premaxilla morphology, absent maxillary shelf, basisphenoid bone foramen, decreased maxillary shelf size, small basisphenoid bone",21183473,129/Sv|129S6/SvEvTac
Cdon<tm1Rsk>/Cdon<tm1Rsk>,involves: 129/Sv * C57BL/6,hm,TRUE,"abnormal craniofacial morphology, abnormal nose morphology, abnormal philtrum morphology, abnormal premaxilla morphology, abnormal upper incisor morphology, abnormal upper incisor morphology, absent nasal septum cartilage, absent primary palate, absent upper incisors, basisphenoid bone foramen, decreased body size, holoprosencephaly, nasal septum cartilage hypoplasia, neonatal lethality, incomplete penetrance, piriform aperture stenosis, postnatal lethality, incomplete penetrance, small basisphenoid bone, small nasal septum",12620190,129/Sv|C57BL/6
Cdon<tm2Rsk>/Cdon<tm2Rsk>,B6.129-Cdon<tm2Rsk>,hm,TRUE,"abnormal blood vessel morphology, abnormal brain ventricle morphology, abnormal cerebral cortex morphology, abnormal forebrain morphology, abnormal forebrain morphology, abnormal neuronal precursor proliferation, absent lamina terminalis, domed cranium, enlarged lateral ventricles, hemorrhage, holoprosencephaly, hydrocephaly, perinatal lethality, incomplete penetrance, premature death, thin cerebral cortex, thin cerebral cortex, weakness",16648472,B6|129
Cdon<tm2Rsk>/Cdon<tm2Rsk>,involves: 129/Sv * C57BL/6,hm,TRUE,"abnormal craniofacial morphology, abnormal nose morphology, abnormal nose morphology, abnormal philtrum morphology, abnormal premaxilla morphology, abnormal upper incisor morphology, absent nasal septum cartilage, absent primary palate, absent upper incisors, basisphenoid bone foramen, decreased body size, holoprosencephaly, nasal septum cartilage hypoplasia, neonatal lethality, incomplete penetrance, piriform aperture stenosis, postnatal lethality, incomplete penetrance, small basisphenoid bone, small nasal septum",12620190,129/Sv|C57BL/6
Cep164<tm1a(EUCOMM)Wtsi>/Cep164<tm1a(EUCOMM)Wtsi>,involves: C57BL/6N,hm,TRUE,"abnormal heart looping, abnormal primary cilium morphology, abnormal primary cilium morphology, caudal body truncation, caudal body truncation, decreased embryonic neuroepithelium primary cilium number, embryonic lethality during organogenesis, complete penetrance, holoprosencephaly, pericardial edema",29244804,C57BL/6N
Chrd<tm1Emdr>/Chrd<tm1Emdr>,129S6.129-Chrd<tm1Emdr>,hm,FALSE,"abnormal ear development, abnormal ear position, abnormal pharyngeal arch artery morphology, absent mandible, athymia, cleft palate, persistent truncus arteriosis, short mandible",19247433,129S6|129
Chrd<tm1Emdr>/Chrd<tm1Emdr>,either: B6SJL.129-Chrd<tm1Emdr> or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6J * SJL/J),hm,FALSE,"abnormal aortic arch morphology, abnormal artery morphology, abnormal brachiocephalic trunk morphology, abnormal common carotid artery morphology, abnormal cranial ganglia morphology, abnormal ear position, abnormal embryonic tissue morphology, abnormal extraembryonic tissue morphology, abnormal laryngeal cartilage morphology, abnormal mandible morphology, abnormal mesoderm development, abnormal middle ear morphology, abnormal neural crest cell migration, abnormal neural plate morphology, abnormal oropharynx morphology, abnormal pharyngeal pouch morphology, abnormal secondary palate development, abnormal thoracic vertebrae morphology, abnormal thyroid gland morphology, abnormal trigeminal ganglion morphology, abnormal tympanic ring morphology, abnormal vertebral arch development, abnormal vestibulocochlear ganglion morphology, absent arcus anterior, absent auditory tube, absent esophagus, absent inner ear, absent mandibular angle, absent mandibular condyloid process, absent mandibular coronoid process, absent mesoderm, absent nodose ganglion, absent notochord, absent notochord, absent parathyroid glands, absent petrosal ganglion, absent pharyngeal arches, absent pharyngeal arches, absent pulmonary trunk, absent somites, absent temporal bone squamous part, athymia, cleft secondary palate, cricoid cartilage hypoplasia, cyanosis, decreased body size, decreased embryo size, decreased tympanic ring size, embryonic lethality between somite formation and embryo turning, complete penetrance, embryonic lethality between somite formation and embryo turning, complete penetrance, enlarged allantois, fusion of basioccipital and basisphenoid bone, fusion of basioccipital and basisphenoid bone, heart right ventricle hypertrophy, hemorrhage, hydrops fetalis, hyoid bone hypoplasia, increased vasodilation, lethality throughout fetal growth and development, incomplete penetrance, microcephaly, palatal shelves fail to meet at midline, perinatal lethality, complete penetrance, perinatal lethality, complete penetrance, perinatal lethality, complete penetrance, persistent truncus arteriosis, presphenoid bone hypoplasia, retroesophageal right subclavian artery, right aortic arch, short zygomatic arch, small ears, small geniculate ganglion, small mandible, small nodose ganglion, small otic capsule, small otic vesicle, small otic vesicle, small petrosal ganglion, small pharynx, small pharynx, small temporal bone, small trachea, small vertebral body, thyroid cartilage hypoplasia, thyroid gland hypoplasia",12810603,B6SJL|129
Chrd<tm1Emdr>/Chrd<tm1Emdr>,involves: 129S1/Sv * 129X1/SvJ,hm,FALSE,"abnormal brain development, abnormal miniature excitatory postsynaptic currents, abnormal response to novel object, abnormal spatial learning, decreased exploration in new environment, enhanced long-term potentiation, enhanced paired-pulse facilitation, hyperactivity, increased neurotransmitter release, nervous system phenotype, perinatal lethality, incomplete penetrance",17634368,129S1/Sv|129X1/SvJ
Chrd<tm1Emdr>/Chrd<tm1Emdr>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6J * SJL/J,hm,FALSE,"abnormal cardiovascular development, abnormal ear development, abnormal pharyngeal arch morphology, perinatal lethality, complete penetrance",10688202,129S1/Sv|129X1/SvJ|C57BL/6J|SJL/J
Chrd<tm1Emdr>/Chrd<tm1Emdr>,involves: 129S1/Sv * 129X1/SvJ * ICR,hm,FALSE,"mortality/aging, renal/urinary system phenotype, reproductive system phenotype","18550712, 18028901",129S1/Sv|129X1/SvJ|ICR
Chtop<tm1a(EUCOMM)Wtsi>/Chtop<+>,C57BL/6N-Chtop<tm1a(EUCOMM)Wtsi>/Wtsi,ht,FALSE,abnormal joint morphology,NA,C57BL/6N
Chtop<tm1a(EUCOMM)Wtsi>/Chtop<tm1a(EUCOMM)Wtsi>,C57BL/6N-Chtop<tm1a(EUCOMM)Wtsi>/Wtsi,hm,TRUE,"abnormal Wolffian duct morphology, abnormal abdominal muscle morphology, abnormal adenohypophysis morphology, abnormal atrioventricular valve morphology, abnormal azygos vein topology, abnormal brachial plexus formation, abnormal carotid artery origin, abnormal cervical atlas morphology, abnormal choroid plexus morphology, abnormal dorsal pancreas topology, abnormal ductus venosus morphology, abnormal ductus venosus valve topology, abnormal eye morphology, abnormal eye muscle morphology, abnormal fetal atrioventricular canal morphology, abnormal forebrain morphology, abnormal hepatic portal vein formation, abnormal hepatic portal vein morphology, abnormal hyoid bone body morphology, abnormal interventricular foramen morphology, abnormal maxilla morphology, abnormal neurohypophysis morphology, abnormal olfactory bulb position, abnormal optic cup morphology, abnormal optic stalk morphology, abnormal pancreas topology, abnormal pineal gland morphology, abnormal placenta morphology, abnormal placental labyrinth vasculature morphology, abnormal rectum morphology, abnormal salivary gland morphology, abnormal small intestine placement, abnormal spongiotrophoblast layer morphology, abnormal subclavian artery origin, abnormal thyroid gland morphology, abnormal ureter topology, abnormal vertebral artery topology, abnormal vertebral body morphology, abnormal viscerocranium morphology, abnormal vitelline vein connection, abnormal vitelline vein topology, absent celiac artery, absent costovertebral joint, absent dorsal root ganglion, absent ductus venosus valve, absent extracranial vertebral artery segment, absent hypoglossal canal, absent hypoglossal nerve, absent intrahepatic inferior vena cava segment, absent olfactory bulb, absent parasellar internal carotid artery, absent spleen, absent vertebrae, absent vertebral arch, anal atresia, anastomosis between common carotid and vertebral artery, anomalous pulmonary venous connection, arteriovenous malformation, bicuspid aortic valve, bicuspid aortic valve, blind ureter, common atrium, decreased cervical vertebrae number, decreased rib number, decreased thoracic vertebrae number, diaphragmatic hernia, double outlet right ventricle, double outlet right ventricle, ductus venosus stenosis, embryo cyst, fetal growth retardation, fused dorsal root ganglion, fused right lung lobes, fusion of atlas and occipital bones, fusion of vertebral arches, heterochrony, holoprosencephaly, internal hemorrhage, intestinal stenosis, lethality throughout fetal growth and development, incomplete penetrance, muscular ventricular septal defect, myelocele, ostium primum atrial septal defect, pelvic kidney, perimembraneous ventricular septal defect, persistent truncus arteriosis, preweaning lethality, complete penetrance, reduced sympathetic cervical ganglion size, retro-esophageal left subclavian artery, retroesophageal right subclavian artery, rib bifurcation, rib fusion, right aortic arch, scoliosis, small nodose ganglion, small superior cervical ganglion, spleen hypoplasia, subcutaneous edema, thin hypoglossal nerve, thyroid gland hypoplasia, urinary bladder hypoplasia","NA, 29539633",C57BL/6N
Cm/+,C3Sn.Cg-Cm/J,ht,FALSE,"abnormal behavioral response to addictive substance, abnormal behavioral response to xenobiotic, abnormal cochlear hair cell morphology, abnormal motor learning, abnormal semicircular canal morphology, abnormal semicircular canal morphology, abnormal synaptic norepinephrine release, behavior/neurological phenotype, decreased body weight, decreased cochlear outer hair cell number, decreased grip strength, eyelids fail to open, head bobbing, hyperactivity, hyperactivity, hyperactivity, hyperactivity, increased cochlear inner hair cell number, increased cochlear outer hair cell number, increased dopamine level, increased dopamine level, induced hyperactivity, iris coloboma","19840852, 8622140, 11259677, 8612329, 12759129",C3Sn|Cg
Cm/+,Not Specified,ht,FALSE,"abnormal brain wave pattern, abnormal coat appearance, abnormal cornea morphology, abnormal lens epithelium morphology, abnormal lens vesicle development, abnormal paired-pulse inhibition, coloboma, cornea perforation, cornea perforation, decreased post-tetanic potentiation, delayed eyelid opening, eyelids fail to open, fused cornea and lens, head tossing, lenticonus, microphthalmia, nervous system phenotype, reduced long-term potentiation","9132997, 7283170",NotSpecified
Cm/+,involves: 101/H * C3H/He * C57BL/6J,ht,FALSE,abnormal eye morphology,10196361,101/H|C3H/He|C57BL/6J
Cm/+,involves: 101/H * C3H/HeH,ht,FALSE,"abnormal eye distance/ position, abnormal optic choroid morphology, abnormal posture, choroid coloboma, circling, head bobbing, head shaking, increased locomotor activity, increased locomotor activity, increased locomotor activity, microphthalmia, microphthalmia, microphthalmia","NA, 1613559",101/H|C3H/HeH
Col2a1<tm1.1Ksec>/Col2a1<+>,involves: 129S7/SvEvBrd * 129X1/SvJ * C57BL/6,ht,FALSE,"cyclopia, enophthalmos, microcephaly, midface hypoplasia",20730911,129S7/SvEvBrd|129X1/SvJ|C57BL/6
Col2a1<tm1.1Ksec>/Col2a1<+>,involves: 129X1/SvJ * C57BL/6,ht,FALSE,"abnormal forebrain development, abnormal head morphology, abnormal head morphology, abnormal head morphology, abnormal mesendoderm development, midface hypoplasia",20730911,129X1/SvJ|C57BL/6
Col2a1<tm1.1Ksec>/Col2a1<tm1.1Ksec>,involves: 129S7/SvEvBrd * 129X1/SvJ * C57BL/6,hm,FALSE,"abnormal neural tube morphology, abnormal tail morphology, cyclopia, microcephaly, midface hypoplasia, prenatal lethality, incomplete penetrance",20730911,129S7/SvEvBrd|129X1/SvJ|C57BL/6
Col2a1<tm1.1Ksec>/Col2a1<tm1.1Ksec>,involves: 129X1/SvJ * C57BL/6,hm,TRUE,"abnormal brain development, abnormal cranial ganglia morphology, abnormal diencephalon morphology, abnormal eye development, abnormal forebrain morphology, abnormal head morphology, abnormal head morphology, abnormal mesendoderm development, abnormal optic vesicle formation, abnormal snout morphology, absent nasal cavity, absent nasal septum, cyclopia, enophthalmos, holoprosencephaly, maxilla hypoplasia, microcephaly, nasal bone hypoplasia, premaxilla hypoplasia, proboscis, retrognathia, short mandible, short snout",20730911,129X1/SvJ|C57BL/6
Cripto<tm1Mms>/Cripto<tm1Mms>,either: (involves: 129S6/SvEvTac) or (involves: 129S6/SvEvTac * Black Swiss),hm,FALSE,"abnormal embryonic neuroepithelium morphology, abnormal gastrulation, abnormal germ layer development, abnormal heart development, abnormal mesoderm development, abnormal rostral-caudal axis patterning, abnormal visceral endoderm morphology, absent mesoderm, absent somites, embryonic lethality during organogenesis, complete penetrance, failure of primitive streak formation",9790191,129S6/SvEvTac
